DUID,BIDTYPE,IS_AUTOBIDDER,n_offers,avg_std_across_bands,total_distinct_values,std_pb1,std_pb5,std_pb10,n_distinct_pb1,n_distinct_pb5,n_distinct_pb10
RIVNB2,RAISE6SEC,False,8447,0.0,10,0.0,0.0,0.0,1,1,1
TB2B1,RAISE6SEC,False,10043,0.0,10,0.0,0.0,0.0,1,1,1
TIB1,RAISE6SEC,False,7763,0.0,10,0.0,0.0,0.0,1,1,1
ULPBESS1,RAISE6SEC,False,2,0.0,10,0.0,0.0,0.0,1,1,1
WANDB1,RAISE6SEC,False,7064,0.0,10,0.0,0.0,0.0,1,1,1
WDBESS1,RAISE6SEC,False,8175,0.0,10,0.0,0.0,0.0,1,1,1
WTAHB1,RAISE6SEC,False,1726,1082.536866882351,20,0.10815802278187801,15.541188997658121,7475.58416772401,2,2,2
ADPBA1,RAISEREG,False,11664,0.0,10,0.0,0.0,0.0,1,1,1
BALB1,RAISEREG,False,17966,8.096225323889215,18,0.0,10.000278315080557,0.5000139157540253,1,2,2
BLYTHB1,RAISEREG,False,354,13.259240986025398,18,0.0,1.4220099090031393,0.0,1,2,1
BOWWBA1,RAISEREG,False,11668,0.0,10,0.0,0.0,0.0,1,1,1
BULBES1,RAISEREG,False,16024,0.0,10,0.0,0.0,0.0,1,1,1
CAPBES1,RAISEREG,False,8288,253.5543556108965,20,0.0,0.8484279395459954,2471.786282014524,1,2,2
CBWWBA1,RAISEREG,False,11650,0.0,10,0.0,0.0,0.0,1,1,1
CHBESS1,RAISEREG,False,14256,42.06578073851604,15,0.0,14.801807070306413,0.0,1,2,1
DPNTB1,RAISEREG,False,17876,8.09622645837125,18,0.0,10.000279716367658,0.5000139858183829,1,2,2
GANNB1,RAISEREG,False,17938,8.101225814993985,18,0.0,10.000278749529665,0.5000139374764836,1,2,2
GREENB1,RAISEREG,False,15410,41.59897323834705,15,0.0,14.637550174673766,0.0,1,2,1
HBESS1,RAISEREG,False,19350,51.71383629210452,12,0.0,0.0,0.0,1,1,1
HVWWBA1,RAISEREG,False,11644,0.0,10,0.0,0.0,0.0,1,1,1
LBB1,RAISEREG,False,18904,0.0,10,0.0,0.0,0.0,1,1,1
LVES1,RAISEREG,False,19390,46.72270482999621,17,0.0,5.915152532975768,0.0,1,2,1
MANNUMB1,RAISEREG,False,16174,51.58603220258169,19,0.0,0.16676447149769283,445.6836088933013,1,2,2
MREHA1,RAISEREG,False,13434,39.424572293389424,47,1.163811549402873,11.184699845856189,0.0,4,5,1
PIBESS1,RAISEREG,False,19148,0.0,10,0.0,0.0,0.0,1,1,1
QBYNB1,RAISEREG,False,1796,1.5314264030162046,19,0.2500696281868396,0.005001392563737132,0.0,2,2,1
RANGEB1,RAISEREG,False,14564,1.9485668978421908,18,0.0,0.6200212864573533,0.0,1,2,1
RESS1,RAISEREG,False,4814,1.9487024100145696,18,0.0,0.6200644055473585,0.0,1,2,1
RIVNB2,RAISEREG,False,16910,8.096239395597133,18,0.0,10.000295696142711,0.5000147848071358,1,2,2
TB2B1,RAISEREG,False,20086,106.47007601670177,23,0.1000024893889798,3.002099752080085,0.0,2,3,1
TIB1,RAISEREG,False,15214,1.630053571722034,12,0.0,0.0,0.0,1,1,1
